680.0 KB	564507e8e000-564507f38000 r--p 00000000 08:00 290860                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/target/release/controller
  1.5 MB	77a09608f000-77a096209000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	77a096209000-77a116209000 ---p 00000000 00:00 0 
  1.1 MB	77a116209000-77a116329000 rw-p 00000000 00:00 0 
  6.0 GB	77a116329000-77a296209000 ---p 00000000 00:00 0 
  4.0 KB	77a296209000-77a29620a000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	77a29620a000-77a296332000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	77a296332000-77a2964ac000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	77a2964ac000-77a3164ac000 ---p 00000000 00:00 0 
  1.1 MB	77a3164ac000-77a3165cc000 rw-p 00000000 00:00 0 
  6.0 GB	77a3165cc000-77a4964ac000 ---p 00000000 00:00 0 
  4.0 KB	77a4964ac000-77a4964ad000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	77a4964ad000-77a4965d5000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	77a4965d5000-77a49674f000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	77a49674f000-77a51674f000 ---p 00000000 00:00 0 
  1.1 MB	77a51674f000-77a51686f000 rw-p 00000000 00:00 0 
  6.0 GB	77a51686f000-77a69674f000 ---p 00000000 00:00 0 
